Tendency	FAM19A5	TDRKH	KLK12	CNTNAP2	DCTN1	TRAF2	LY75	TNFRSF9	DCN	LAG3	LRRN1	IL10	METAP1D	CPXM1	CD4	SIGLEC6	TNFRSF4	CXCL9	ANGPT1	CD40-L	CBL	IRAK1
0	1.83436	3.78476	4.12068	1.45732	4.23328	2.90084	2.22344	5.63722	4.19026	3.11314	4.22169	3.39647	3.62205	3.88439	3.36095	5.96886	5.53051	6.95849	8.02344	4.88179	3.18903	2.27284
0	1.68492	1.96269	2.88885	1.49168	2.38878	1.65579	2.67745	5.94431	4.32873	3.22471	4.1519	3.80624	2.50707	3.80838	3.54456	5.74139	5.44233	7.07132	8.29114	3.47035	1.76282	0.87835
0	1.80128	1.83569	1.6794	0.91817	1.04696	1.54906	2.01043	5.63581	4.09119	2.89573	4.50961	3.72148	1.45306	4.13768	3.23279	5.76104	5.19066	6.44487	8.15766	2.11609	0.91043	0.87835
0	1.99912	3.34464	3.54278	1.02382	4.36138	3.52776	2.63777	5.64698	4.31155	2.77799	5.20244	3.05718	4.14773	4.31061	3.67677	5.62305	4.8347	7.26707	9.0082	5.32942	3.81251	2.69212
0	1.92224	5.67879	2.14088	1.82819	5.62981	4.56633	2.65105	5.63683	4.36888	2.75842	4.67938	3.31417	5.59379	5.50202	3.42307	5.79764	4.67224	7.76252	10.27921	7.40681	4.7978	3.71372
0	1.36344	1.83569	2.07555	1.19408	3.67755	2.43992	2.60115	5.56667	4.24542	3.3604	3.95842	2.9373	4.16091	2.59907	3.17065	5.73091	4.70352	6.75052	7.9896	3.55864	2.07358	1.01685
0	1.96565	4.54471	1.42784	1.62501	5.00636	4.08217	2.7578	5.662	4.28348	2.87679	4.89212	3.48725	5.34672	3.27578	3.49985	5.06395	5.29934	7.52117	8.07233	6.16151	3.93505	2.11565
0	1.97439	2.65403	2.2919	0.98109	2.89614	2.28192	2.55535	6.04556	4.20373	3.30713	4.52445	3.91035	2.74108	3.8749	3.61278	5.25799	5.35517	7.35186	8.36458	3.42966	2.06327	1.18653
0	2.15148	2.35497	1.42784	1.45088	3.17194	2.6868	2.50659	5.99918	4.2922	3.13498	5.2745	3.5069	3.07765	4.42093	3.40238	6.11036	5.43025	7.21286	8.6877	5.32436	2.3326	1.36898
0	1.36181	5.55271	2.38366	1.50055	5.64135	5.05705	2.06482	5.21672	3.71432	2.84119	4.65394	2.68986	5.56877	4.81643	3.26923	5.88578	4.83815	5.58346	8.90099	7.16014	4.37208	4.26299
0	1.22581	3.87664	3.31282	1.16497	4.03335	4.15086	2.66388	5.53399	3.98195	2.82539	4.52778	3.12102	3.72763	3.37827	3.86719	6.55278	5.55194	5.95537	8.68302	4.78828	2.8275	2.11409
0	1.53764	3.54873	2.08992	1.19374	3.68896	3.26663	2.39957	5.3305	4.34697	2.84302	4.73914	3.43367	3.57924	2.41951	3.10079	5.06475	4.94051	6.63615	7.19872	4.45442	3.27611	1.82057
0	1.75854	5.35478	2.25237	1.57096	5.49765	4.58618	2.22684	5.60279	4.0607	2.81563	4.93499	2.96813	5.73465	5.56514	3.45413	5.73273	4.76046	6.67231	9.6413	6.7201	4.62859	3.24521
0	1.3988	4.08754	3.09435	1.09673	4.56356	2.92561	2.41474	5.47732	3.82086	2.69196	5.05315	3.27579	3.91357	4.16643	2.93893	4.79048	4.58975	7.31109	9.12382	5.19739	3.19324	2.11339
0	1.48287	3.27715	2.60211	1.16773	4.45662	3.39809	2.61589	6.07087	4.38972	3.05498	4.56671	3.63827	4.02648	4.62684	3.38941	6.06579	5.49958	7.54212	9.23202	4.82123	3.56016	2.62733
0	1.46298	1.83569	2.76788	1.36467	1.89832	1.54906	1.99673	5.27479	4.35892	2.42452	4.17483	3.73114	1.82976	2.47589	3.22479	5.84416	5.14524	6.7982	8.34249	3.50423	1.0686	0.87835
0	2.06016	4.38144	1.42784	1.25232	4.21244	3.28256	2.65783	5.21125	3.94397	2.61892	4.96984	3.10986	4.4342	4.17066	3.01252	4.89956	4.85766	6.52045	8.29888	5.78367	3.26585	2.36011
0	1.81292	3.65087	1.42784	1.99329	4.13514	2.40433	2.38276	5.49514	3.89956	2.6982	4.67514	2.54502	3.84641	6.0786	2.91581	5.51888	5.37581	5.80012	10.43057	7.5266	2.62938	1.76408
0	1.69045	3.09428	1.99683	0.91817	3.73029	2.67595	2.18838	5.17457	3.93547	2.67299	5.49187	3.11784	2.91201	3.61183	3.12434	5.34128	4.7966	6.63639	7.96726	4.47841	2.64754	1.45311
